timestamp,guid,sponsor_id,campaign_id,group_id,variation_id,activity_id,ip,province,city,brand,mode,user_agent,click_device_id,dest_link,label
2024-06-28 17:59:51,4187526779,7087,64443,506766,3860454,7383,87.85.182.86,广东省,无锡市,Xiaomi,Reno5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9 rv:4.0; ja-JP) AppleWebKit/534.2.4 (KHTML, like Gecko) Version/5.0 Safari/534.2.4",ba510041-43e9-4c33-a120-40d525015e92,http://chao.cn/,0
2024-09-07 23:05:09,4393042281,4353,44392,174094,3684656,7612,83.28.182.73,四川省,苏州市,Vivo,Reno5,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/15.2x5297.0 Mobile/61A797 Safari/536.1",281bb94b-225d-4184-929b-e580a255bdd0,http://shenchang.cn/,1
2024-08-20 22:33:13,9959380382,8590,74164,134873,7017865,317,14.102.200.1,浙江省,北京市,Apple,Mi 11,Opera/9.83.(Windows CE; mni-IN) Presto/2.9.161 Version/12.00,523f6880-0fe6-43d0-b891-aa009865e61d,http://www.duan.cn/,1
2024-06-27 23:01:40,9694057718,3136,30991,162206,3577164,3540,143.206.105.83,四川省,广州市,OPPO,Find X3,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/62.0.802.0 Safari/534.1",0b31e768-01bb-4fb4-a95b-f950a54bc612,http://www.03.cn/,1
2024-02-04 17:26:06,1413202112,7812,36733,527354,1294219,1318,162.125.36.120,江苏省,北京市,Apple,Y52s,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.45.6 (KHTML, like Gecko) Version/4.0.3 Safari/535.45.6",dabc5df3-d4be-41d7-a786-380f249d3390,https://xiulanmin.cn/,0
2024-04-30 08:55:02,5317456982,1841,82449,610544,8018930,6555,16.31.140.102,浙江省,温州市,Xiaomi,Y52s,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/57.0.893.0 Safari/536.0",a79d3644-8aa7-45f7-a634-8cfc668f0790,http://qb.org/,0
2024-04-03 15:43:58,8620928447,5020,70710,697053,2351461,3179,193.199.34.66,广东省,福州市,Xiaomi,Redmi Note 9,Opera/8.55.(X11; Linux x86_64; de-AT) Presto/2.9.171 Version/11.00,be10fe10-6a28-415c-a531-44cc88493fbc,http://yang.net/,1
2024-03-09 03:44:33,4712961266,3384,55220,705666,7700274,7302,122.211.125.235,广东省,上海市,Xiaomi,P40,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.2.3 (KHTML, like Gecko) Version/4.1 Safari/532.2.3",0061506d-b795-4fa4-a104-39ec9c434520,https://www.jie.cn/,1
2024-10-06 21:41:58,2463343954,2659,13175,113682,6860108,645,201.239.119.213,浙江省,福州市,Samsung,P40,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.7.7 (KHTML, like Gecko) Version/5.0.2 Safari/532.7.7",43161994-6b4b-4e8b-8d70-be506852b120,https://www.fangfang.cn/,1
2024-05-26 00:57:25,7563373617,5840,79797,775414,2404503,5611,201.148.208.184,四川省,成都市,Vivo,Mi 10,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/20.0.830.0 Safari/536.1",4b715b63-9a07-4a17-98ab-964190683e13,https://www.xueren.cn/,0
